Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Inchung,Punkt under næsen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jageun dolcheogi,Lille hængsel,Håndteknikker,2. dan,http://www.tangun.dk/images/stories/docs/2dan.pdf,FALSE,TRUE
Jageun dolcheogi,Lille hængsel,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jang danji,Læggen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Japko chagi,Holde spark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jebipoom,Svaleteknik,Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Jebipoom mok-chigi,Slag mod hals – Svaleteknik,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Jeochyo,Håndryggen nedad,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jeochyo pyonsonkeut,Håndfladen opad (fingerstik),Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Jeon,Runde,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Jeong kangii,Skinnebenet,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Jepipoom,Svaleform,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jibge Jomeok,Pincetnæve,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jibge jumeok,Pinsetnæve,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Jibge sonkarak,Pegefinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jijjigki,Stamp/tramp/pulverisere,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Jireugi,Slag fra hoften m. knyttet hånd,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Jireugi,Slag fra bæltested,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jodul,Otte ( 8 ),Tal,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Joo Sim,Kampleder,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Joochoom Seogi,Hestestand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Joochoom-seogi,Hestestand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Jool,Ti ( 10 ),Tal,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
JoolChung Choot,Rør,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Joomeok,Knyttet hånd,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Joonbi,Indtag klarstand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Ju Dan Ja,Danbærer 1.-3. Dan,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ju Kup Ja,9.-1. Kup (ej træner),Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Jumeok,Knyttet hånd,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
